Date,continent ,country,lat,long,confirmed,death,recovered
2020-01-22,Asia,Afghanistan,33,65,0,0,0
2020-01-23,Asia,Afghanistan,33,65,0,0,0
2020-01-24,Asia,Afghanistan,33,65,0,0,0
2020-01-25,Asia,Afghanistan,33,65,0,0,0
2020-01-26,Asia,Afghanistan,33,65,0,0,0
2020-01-27,Asia,Afghanistan,33,65,0,0,0
2020-01-28,Asia,Afghanistan,33,65,0,0,0
2020-01-29,Asia,Afghanistan,33,65,0,0,0
2020-01-30,Asia,Afghanistan,33,65,0,0,0
2020-01-31,Asia,Afghanistan,33,65,0,0,0
2020-02-01,Asia,Afghanistan,33,65,0,0,0
2020-02-02,Asia,Afghanistan,33,65,0,0,0
2020-02-03,Asia,Afghanistan,33,65,0,0,0
2020-02-04,Asia,Afghanistan,33,65,0,0,0
2020-02-05,Asia,Afghanistan,33,65,0,0,0
2020-02-06,Asia,Afghanistan,33,65,0,0,0
2020-02-07,Asia,Afghanistan,33,65,0,0,0
2020-02-08,Asia,Afghanistan,33,65,0,0,0
2020-02-09,Asia,Afghanistan,33,65,0,0,0
2020-02-10,Asia,Afghanistan,33,65,0,0,0
2020-02-11,Asia,Afghanistan,33,65,0,0,0
2020-02-12,Asia,Afghanistan,33,65,0,0,0
2020-02-13,Asia,Afghanistan,33,65,0,0,0
2020-02-14,Asia,Afghanistan,33,65,0,0,0
2020-02-15,Asia,Afghanistan,33,65,0,0,0
2020-02-16,Asia,Afghanistan,33,65,0,0,0
2020-02-17,Asia,Afghanistan,33,65,0,0,0
2020-02-18,Asia,Afghanistan,33,65,0,0,0
2020-02-19,Asia,Afghanistan,33,65,0,0,0
2020-02-20,Asia,Afghanistan,33,65,0,0,0
2020-02-21,Asia,Afghanistan,33,65,0,0,0
2020-02-22,Asia,Afghanistan,33,65,0,0,0
2020-02-23,Asia,Afghanistan,33,65,0,0,0
2020-02-24,Asia,Afghanistan,33,65,1,0,0
2020-02-25,Asia,Afghanistan,33,65,0,0,0
2020-02-26,Asia,Afghanistan,33,65,0,0,0
2020-02-27,Asia,Afghanistan,33,65,0,0,0
2020-02-28,Asia,Afghanistan,33,65,0,0,0
2020-02-29,Asia,Afghanistan,33,65,0,0,0
2020-03-01,Asia,Afghanistan,33,65,0,0,0
2020-03-02,Asia,Afghanistan,33,65,0,0,0
2020-03-03,Asia,Afghanistan,33,65,0,0,0
2020-03-04,Asia,Afghanistan,33,65,0,0,0
2020-03-05,Asia,Afghanistan,33,65,0,0,0
2020-03-06,Asia,Afghanistan,33,65,0,0,0
2020-03-07,Asia,Afghanistan,33,65,0,0,0
2020-03-08,Asia,Afghanistan,33,65,3,0,0
2020-03-09,Asia,Afghanistan,33,65,0,0,0
