Date,country,lat,long,confirmed,death,recovered
2020-01-22,"Korea, South",36,128,1,0,0
2020-01-23,"Korea, South",36,128,0,0,0
2020-01-24,"Korea, South",36,128,1,0,0
2020-01-25,"Korea, South",36,128,0,0,0
2020-01-26,"Korea, South",36,128,1,0,0
2020-01-27,"Korea, South",36,128,1,0,0
2020-01-28,"Korea, South",36,128,0,0,0
2020-01-29,"Korea, South",36,128,0,0,0
2020-01-30,"Korea, South",36,128,0,0,0
2020-01-31,"Korea, South",36,128,7,0,0
2020-02-01,"Korea, South",36,128,1,0,0
2020-02-02,"Korea, South",36,128,3,0,0
2020-02-03,"Korea, South",36,128,0,0,0
2020-02-04,"Korea, South",36,128,1,0,0
2020-02-05,"Korea, South",36,128,3,0,0
2020-02-06,"Korea, South",36,128,4,0,0
2020-02-07,"Korea, South",36,128,1,0,1
2020-02-08,"Korea, South",36,128,0,0,0
2020-02-09,"Korea, South",36,128,1,0,2
2020-02-10,"Korea, South",36,128,2,0,0
2020-02-11,"Korea, South",36,128,1,0,0
2020-02-12,"Korea, South",36,128,0,0,4
2020-02-13,"Korea, South",36,128,0,0,0
2020-02-14,"Korea, South",36,128,0,0,0
2020-02-15,"Korea, South",36,128,0,0,2
2020-02-16,"Korea, South",36,128,1,0,0
2020-02-17,"Korea, South",36,128,1,0,1
2020-02-18,"Korea, South",36,128,1,0,2
2020-02-19,"Korea, South",36,128,0,0,0
2020-02-20,"Korea, South",36,128,73,1,4
2020-02-21,"Korea, South",36,128,100,1,0
2020-02-22,"Korea, South",36,128,229,0,0
2020-02-23,"Korea, South",36,128,169,4,2
2020-02-24,"Korea, South",36,128,231,2,0
2020-02-25,"Korea, South",36,128,144,2,4
2020-02-26,"Korea, South",36,128,284,2,0
2020-02-27,"Korea, South",36,128,505,1,0
2020-02-28,"Korea, South",36,128,571,0,0
2020-02-29,"Korea, South",36,128,813,3,5
2020-03-01,"Korea, South",36,128,586,1,3
2020-03-02,"Korea, South",36,128,599,11,0
2020-03-03,"Korea, South",36,128,851,0,0
2020-03-04,"Korea, South",36,128,435,7,11
2020-03-05,"Korea, South",36,128,467,0,0
2020-03-06,"Korea, South",36,128,505,7,94
2020-03-07,"Korea, South",36,128,448,2,0
2020-03-08,"Korea, South",36,128,273,6,17
2020-03-09,"Korea, South",36,128,164,3,0
2020-03-10,"Korea, South",36,128,35,1,129
2020-03-11,"Korea, South",36,128,242,6,41
2020-03-12,"Korea, South",36,128,114,6,45
2020-03-13,"Korea, South",36,128,110,0,177
2020-03-14,"Korea, South",36,128,107,6,0
2020-03-15,"Korea, South",36,128,76,3,0
2020-03-16,"Korea, South",36,128,74,0,627
2020-03-17,"Korea, South",36,128,84,6,270
2020-03-18,"Korea, South",36,128,93,3,133
2020-03-19,"Korea, South",36,128,152,7,0
2020-03-20,"Korea, South",36,128,87,3,0
2020-03-21,"Korea, South",36,128,147,8,0
2020-03-22,"Korea, South",36,128,162,9,1369
2020-03-23,"Korea, South",36,128,0,0,0
2020-03-24,"Korea, South",36,128,76,9,598
2020-03-25,"Korea, South",36,128,100,6,223
2020-03-26,"Korea, South",36,128,104,5,414
2020-03-27,"Korea, South",36,128,91,8,384
2020-03-28,"Korea, South",36,128,146,5,283
2020-03-29,"Korea, South",36,128,105,8,222
2020-03-30,"Korea, South",36,128,78,6,195
2020-03-31,"Korea, South",36,128,125,4,180
2020-04-01,"Korea, South",36,128,101,3,159
